activate;activate.messages.error;<strong>Kullanýcýnýzýn aktivasyon iþlemi yapýlamadý.</strong> Lütfen giriþ sayfasýndan kaydolun.
activate;activate.title;Aktivasyon
activate;activate.messages.success;<strong>Kullanýcýnýzýn aktivasyon iþlemi tamamlandý.</strong> Lütfen 
additionalService;kuryeApp.additionalService.statusoff;Pasif
additionalService;kuryeApp.additionalService.updated;{{ param }} no'lu Ek Hizmet Deðiþtirildi
additionalService;kuryeApp.additionalService.created;{{ param }} no'lu Ek Hizmet Oluþturuldu
additionalService;kuryeApp.additionalService.name;Ek Hizmet
additionalService;kuryeApp.additionalService.companyType;Firma Türü
additionalService;kuryeApp.additionalService.deleted;{{ param }} no'lu Ek Hizmet Silindi
additionalService;kuryeApp.additionalService.home.notFound;Ek Hizmet Bulunamadý
additionalService;kuryeApp.additionalService.delete.question;{{ id }} no'lu Ek Hizmeti Silmek Ýstediðinize Emin misiniz?
additionalService;kuryeApp.additionalService.home.title;Ek Hizmetler
additionalService;kuryeApp.additionalService.home.createOrEditLabel;Ek Hizmet Oluþtur veya Düzenle
additionalService;kuryeApp.additionalService.status;Durum
additionalService;kuryeApp.additionalService.statuson;Aktif
additionalService;kuryeApp.additionalService.home.createLabel;Yeni Ek Hizmet Oluþtur
additionalService;kuryeApp.additionalService.detail.title;Ek Hizmet
audits;audits.table.header.data;Ekstra bilgi
audits;audits.table.header.status;Durum
audits;audits.table.data.remoteAddress;Uzak Adres:
audits;audits.notFound;No audit found
audits;audits.filter.to;kime
audits;audits.filter.from;kimden
audits;audits.table.header.date;Tarih
audits;audits.filter.button.clear;temizle
audits;audits.filter.button.today;bugün
audits;audits.table.header.principal;Kullanýcý
audits;audits.filter.button.weeks;Hafta
audits;audits.title;Denetim
audits;audits.filter.title;Tarihleri filtrele
audits;audits.filter.button.close;kapat
company;kuryeApp.company.home.createLabel;Yeni Firma Oluþtur
company;kuryeApp.company.statuson;Açýk
company;kuryeApp.company.currencyType;Para Birimi
company;kuryeApp.company.logo;Logo
company;kuryeApp.company.home.createOrEditLabel;Firma Oluþtur veya Düzenle
company;kuryeApp.company.basePrice;Baz Fiyat
company;kuryeApp.company.contactPerson;Yetkili
company;kuryeApp.company.lockstatuson;Aktif
company;kuryeApp.company.delete.question;{{ id }} no'lu Firmayý Silmek Ýstediðinize Emin misiniz?
company;kuryeApp.company.address;Adres
company;kuryeApp.company.status;Durum
company;kuryeApp.company.commisionRate;Komisyon Oraný
company;kuryeApp.company.createDate;Oluþturma Tarihi
company;kuryeApp.company.created;{{ param }} no'lu Firma Oluþturuldu
company;kuryeApp.company.langKey;Varsayýlan Dil
company;kuryeApp.company.home.title;Firmalar
company;kuryeApp.company.lockstatusoff;Pasif
company;kuryeApp.company.ready;Aktivasyon Talebi
company;kuryeApp.company.email;E-Mail
company;kuryeApp.company.name;Firma Adý
company;kuryeApp.company.documents;Gerekli Evraklar
company;kuryeApp.company.downloadFile;Dosyayý Ýndir
company;kuryeApp.company.lockStatus;Aktiflik Durumu
company;kuryeApp.company.lockstatusall;Tümü
company;kuryeApp.company.companyType;Firma Türü
company;kuryeApp.company.home.notFound;Firma Bulunamadý
company;kuryeApp.company.lockstatuswaiting;Aktivasyon Bekliyor
company;kuryeApp.company.waitingForActivation;Aktivasyon Bekleniyor
company;kuryeApp.company.deleted;{{ param }} no'lu Firma Silindi
company;kuryeApp.company.statusoff;Kapalý
company;kuryeApp.company.phone;Telefon
company;kuryeApp.company.updated;{{ param }} no'lu Firma Düzenlendi
company;kuryeApp.company.detail.title;Firma
companyPacket;kuryeApp.companyPacket.statuson;Aktif
companyPacket;kuryeApp.companyPacket.deleted;{{ param }} no'lu Hizmet Paketi Silindi
companyPacket;kuryeApp.companyPacket.detail.title;Hizmet Paketi
companyPacket;kuryeApp.companyPacket.delete.question;{{ id }} no'lu Hizmet Paketini Silmek Ýstediðinize Emin misiniz?
companyPacket;kuryeApp.companyPacket.statusoff;Pasif
companyPacket;kuryeApp.companyPacket.updated;{{ param }} no'lu Hizmet Paketi Deðiþtirildi
companyPacket;kuryeApp.companyPacket.home.notFound;Hizmet Paketi Bulunamadý
companyPacket;kuryeApp.companyPacket.services;Hizmet Ücretleri
companyPacket;kuryeApp.companyPacket.currencyType;Para Birimi
companyPacket;kuryeApp.companyPacket.home.createOrEditLabel;Hizmet Paketi Oluþtur veya Düzenle
companyPacket;kuryeApp.companyPacket.home.title;Hizmet Paketleri
companyPacket;kuryeApp.companyPacket.created;{{ param }} no'lu Hizmet Paketi Oluþturuldu
companyPacket;kuryeApp.companyPacket.home.createLabel;Yeni Hizmet Paketi Oluþtur
companyPacket;kuryeApp.companyPacket.name;Paket Adý
companyPacket;kuryeApp.companyPacket.status;Durum
companyPacketService;kuryeApp.companyPacketService.statuson;Aktif
companyPacketService;kuryeApp.companyPacketService.created;Hizmet Ücreti Kaydedildi
companyPacketService;kuryeApp.companyPacketService.multiply;*
companyPacketService;kuryeApp.companyPacketService.type;Ekle/Çarp
companyPacketService;kuryeApp.companyPacketService.home.title;Ek Hizmetler
companyPacketService;kuryeApp.companyPacketService.updated;Hizmet Ücreti Kaydedildi
companyPacketService;kuryeApp.companyPacketService.status;Durum
companyPacketService;kuryeApp.companyPacketService.plus;+
companyPacketService;kuryeApp.companyPacketService.price;Ücret/Oran
companyPacketService;kuryeApp.companyPacketService.statusoff;Pasif
companyPacketService;kuryeApp.companyPacketService.additionalService;Hizmet
companyProductPrice;kuryeApp.companyProductPrice.deleted;{{ param }} no'lu Ürün Fiyatý Silindi
companyProductPrice;kuryeApp.companyProductPrice.delete.question;{{ id }} no'lu Ürün Fiyatýný Silmek Ýstediðinize Emin misiniz?
companyProductPrice;kuryeApp.companyProductPrice.home.notFound;Ürün Fiyatý Bulunamadý
companyProductPrice;kuryeApp.companyProductPrice.statusoff;Pasif
companyProductPrice;kuryeApp.companyProductPrice.additionalPrice;Ek birim baþýna fiyat
companyProductPrice;kuryeApp.companyProductPrice.maxQuantity;Maksimum Miktar
companyProductPrice;kuryeApp.companyProductPrice.basePrice;Baz Fiyat
companyProductPrice;kuryeApp.companyProductPrice.productType;Ürün Türü
companyProductPrice;kuryeApp.companyProductPrice.home.title;Ürün Fiyatlarý
companyProductPrice;kuryeApp.companyProductPrice.home.createOrEditLabel;Ürün Fiyatý Oluþtur veya Düzenle
companyProductPrice;kuryeApp.companyProductPrice.home.createLabel;Ürün Fiyatý Oluþtur
companyProductPrice;kuryeApp.companyProductPrice.statuson;Aktif
companyProductPrice;kuryeApp.companyProductPrice.detail.title;Ürün Fiyatý
companyProductPrice;kuryeApp.companyProductPrice.name;Name
companyProductPrice;kuryeApp.companyProductPrice.baseQuantity;Baz Miktar
companyProductPrice;kuryeApp.companyProductPrice.created;{{ param }} no'lu Ürün Fiyatý Oluþturuldu
companyProductPrice;kuryeApp.companyProductPrice.status;Durum
companyProductPrice;kuryeApp.companyProductPrice.updated;{{ param }} no'lu Ürün Fiyatý Deðiþtirildi
companyType;kuryeApp.companyType.home.createOrEditLabel;Firma Türü  Oluþtur veya Düzenle
companyType;kuryeApp.companyType.productType;Ürün Türü
companyType;kuryeApp.companyType.additionalService;Ek Hizmet
companyType;kuryeApp.companyType.updated;{{ param }} no'lu Firma Türü Düzenlendi
companyType;kuryeApp.companyType.deleted;{{ param }} no'lu Firma Türü Silindi
companyType;kuryeApp.companyType.home.createLabel;Yeni Firma Türü Oluþtur
companyType;kuryeApp.companyType.home.notFound;Firma Türü Bulunamadý
companyType;kuryeApp.companyType.documentType;Doküman Türü
companyType;kuryeApp.companyType.delete.question;{{ id }} no'lu Firma Türünü Silmek Ýstediðinize Emin misiniz?
companyType;kuryeApp.companyType.home.title;Firma Türleri
companyType;kuryeApp.companyType.detail.title;Firma Türü
companyType;kuryeApp.companyType.name;Firma Türü
companyType;kuryeApp.companyType.created;{{ param }} no'lu Firma Türü Oluþturuldu
configuration;configuration.table.prefix;Önek
configuration;configuration.table.properties;Özellikler
configuration;configuration.filter;Filtrele (Önek ile)
configuration;configuration.title;Yapýlandýrma
currencyType;kuryeApp.currencyType.created;{{ param }} no'lu Para Birimi Oluþturuldu
currencyType;kuryeApp.currencyType.home.title;Para Birimleri
currencyType;kuryeApp.currencyType.delete.question;{{ id }} no'lu Para Biriminü Silmek Ýstediðinize Emin misiniz?
currencyType;kuryeApp.currencyType.currencyCode;Para Birimi Kodu
currencyType;kuryeApp.currencyType.home.createLabel;Yeni Para Birimi Oluþtur
currencyType;kuryeApp.currencyType.updated;{{ param }} no'lu Para Birimi Düzenlendi
currencyType;kuryeApp.currencyType.deleted;{{ param }} no'lu Para Birimi Silindi
currencyType;kuryeApp.currencyType.home.createOrEditLabel;Para Birimi  Oluþtur veya Düzenle
currencyType;kuryeApp.currencyType.currencyName;Para Birimi
currencyType;kuryeApp.currencyType.home.notFound;Para Birimi Bulunamadý
currencyType;kuryeApp.currencyType.detail.title;Para Birimi
documentType;kuryeApp.documentType.name;Adý
documentType;kuryeApp.documentType.updated;{{ param }} no'lu Doküman Türü Düzenlendi
documentType;kuryeApp.documentType.deleted;{{ param }} no'lu Doküman Türü Silindi
documentType;kuryeApp.documentType.detail.title;Doküman Türü
documentType;kuryeApp.documentType.home.createOrEditLabel;Doküman Türü Oluþtur veya Düzenle
documentType;kuryeApp.documentType.home.createLabel;Yeni Doküman Türü Oluþtur
documentType;kuryeApp.documentType.home.notFound;Doküman Türü Bulunamadý
documentType;kuryeApp.documentType.home.title;Doküman Türleri
documentType;kuryeApp.documentType.delete.question;{{ id }} no'lu Doküman Türünü Silmek Ýstediðinize Emin misiniz?
documentType;kuryeApp.documentType.created;{{ param }} no'lu Doküman Türü Oluþturuldu
documentType;kuryeApp.documentType.companyType;Firma Türü
global;global.menu.entities.orderT;Sipariþler
global;global.form.confirmpassword.label;Yeni Þifre Tekrar
global;entity.action.save;Kaydet
global;global.messages.validate.confirmpassword.minlength;Tekrar þifreniz en az 4 karakter olmalýdýr
global;global.menu.entities.priceList;Fiyat Listesi
global;global.menu.entities.documentType;Doküman Türleri
global;global.item-count;Toplam {{total}} kaydýn {{first}} - {{second}} arasý gösteriliyor.
global;error.idnull;Invalid ID
global;global.menu.admin.logs;Kayýtlar
global;global.menu.entities.main;Varlýklar
global;global.messages.validate.email.minlength;E-posta adresi en az 5 karakter olmalýdýr
global;entity.action.close;Kapat
global;error.file.could.not.extract;Could not extract file
global;global.menu.admin.tracker;Kullanýcý Takip
global;global.menu.entities.productType;Ürün Türleri
global;global.messages.info.authenticated.prefix;
global;global.menu.admin.main;Yönetim
global;global.form.email.placeholder;E-posta adresiniz
global;entity.validation.patternLogin;Bu alan harf, rakam veya e-posta adresi içermeli.
global;dateFilter.last60Days;Son 2 Ay
global;dateFilter.last90Days;Son 3 Ay
global;global.menu.language;Dil
global;error.file.not.image;File was expected to be an image but was found to be "{{ fileType }}"
global;error.emailexists;E-posta adresi zaten kullanýlýyor!
global;global.field.id;No
global;entity.detail.value;Deðer
global;global.menu.entities.region;Bölgeler
global;dateFilter.all;Tümü
global;entity.validation.min;Bu alan en az {{min}} olmalý.
global;global.menu.entities.companyPacketService;Hizmet Paketi Hizmetleri
global;entity.action.addimage;Resim Ekle
global;entity.action.delete;Sil
global;entity.detail.field;Alan
global;error.userexists;Kullanýcý adý daha önce alýnmýþ!
global;global.menu.entities.currencyType;Para Birimleri
global;global.messages.info.register.noaccount;Henüz bir hesabýnýz yok mu?
global;global.menu.home;Ana Sayfa
global;global.menu.account.settings;Ayarlar
global;entity.validation.max;Bu alan en fazla {{max}} olmalý.
global;global.form.currentpassword.placeholder;Mevcut Þifreniz
global;entity.action.view;Görüntüle
global;global.menu.account.register;Kayýt
global;entity.validation.datetimelocal;Bu alan tarih veya zaman içermeli.
global;global.form.email.label;E-posta
global;global.form.newpassword.placeholder;Yeni Þifreniz
global;global.ribbon.dev;Development
global;entity.validation.minlength;Bu alan en az {{min}} karakterden oluþabilir.
global;global.form.username.label;Kullanýcý Adý
global;error.NotNull;{{fieldName}} alaný boþ býrakýlamaz!
global;global.menu.account.login;Giriþ
global;global.menu.account.logout;Çýkýþ
global;error.url.not.found;Bulunamadý
global;dateFilter.last3Days;Son 3 Gün
global;global.messages.validate.newpassword.minlength;Þifreniz en az 4 karakter olmak zorundadýr
global;global.menu.admin.userManagement;Kullanýcý yönetimi
global;entity.validation.maxbytes;Bu alan en fazla {{max}} byte olmalý.
global;error.Size;{{fieldName}} alaný min/max gerekliliklere uymuyor!
global;global.menu.admin.configuration;Yapýlandýrma
global;entity.validation.required;Bu alan gerekli.
global;global.messages.validate.email.required;E-posta zorunlu alandýr.
global;entity.delete.title;Silme iþlemini onayla
global;global.messages.validate.newpassword.required;Þifre zorunlu alandýr.
global;global.menu.account.sessions;Oturumlar
global;global.menu.account.main;Hesap
global;global.form.username.placeholder;Kullanýcý Adýnýz
global;global.messages.validate.confirmpassword.maxlength;Tekrar þifreniz 50 karakterden uzun olamaz
global;global.form.currentpassword.label;Mevcut Þifre
global;global.menu.admin.jhipster-needle-menu-add-admin-element;JHipster will add additional menu entries here (do not translate!)
global;global.menu.admin.health;Saðlýk
global;entity.action.edit;Düzenle
global;global.messages.info.authenticated.suffix; yapmak istiyorsanýz, varsayýlan hesaplardan birini deneyebilirsiniz:<br/>- Yönetici (kullanýcý adý="admin" ve þifre="admin") <br/>- Kullanýcý (kullanýcý adý="user" and þifre="user").
